compound,1-D9-ATQ-1,2-D9-ATQ-2,3-D9-ND-1,4-D9-ND-2,5-D9-200nM-1,6-D9-200nM-2,7-D9-500nM-1,8-D9-500nM-2,9-D9-2uM-1,10-D9-2uM-2,11-E9-ATQ-1,12-E9-ATQ2,13-E9-ND-1,14-E9-ND-2,15-E9-200nM-1,16-E9-200nM-2,17-E9-500nM-1,18-E9-500nM-2,19-E9-2uM-1,20-E9-2uM-2,21-FG0305-ATQ-1,22-FG0305-ATQ-2,23-FG0305-ND-1,24-FG0305-ND-2,25-FG0305-200nM-1,26-FG0305-200nM-2,27-FG0305-500nM-1,28-FG0305-500nM-2,29-FG0305-2uM-1,30-FG0305-2uM-2,QC-1,QC-2,QC-3,QC-4,QC-5,QC-6
Pyrophosphate,295651562.7,381965720.9,229992826.9,296155018.1,314351749.4,340118716.5,301958449.5,229080749.7,223550705.6,272200509.6,503170386,417820581.2,497822376.6,451638368.7,428179183.4,399514051.7,679667449.4,545703547.1,321829288.9,415221781.7,350607689.2,490224751.6,398817179.9,393084198.4,333679483.7,299664588.1,305364992,376926972,415718436.3,441999315.8,402645849.9,419763340.2,394926785.5,448528003.8,414860734.3,415546103.8
GDP/ADP,161072.4402,422272.0141,213826.9938,608804.2463,331733.0089,375477.4629,190958.7723,209290.0982,151032.6829,330426.5008,2173137.963,1618077.587,1946096.825,2167249.123,1544628.308,1530290.784,2835903.676,2602044.005,1727944.213,1582618.075,1064921.642,1189905.028,1010298.796,1070465.019,1066293.318,985755.8563,786401.4823,1182815.544,1019879.456,1240648.664,1327814.827,1304752.683,1313739.69,1282263.954,1279942.078,1221017.031
glutathione reduced,2088295.535,1693062.221,2520379.246,1570858.504,1135100.475,1109479.472,1620529.513,1348857.052,1954159.824,1356344.975,1498772.899,1427042.511,1590550.734,1511164.727,1216226.179,1416351.518,1737056.47,1324745.129,1552845.098,1360488.686,2195567.84,2624273.454,2038154.279,1837106.711,1504364.56,1882076.122,2130584.804,2192101.276,2079052.607,1806061.941,3583161.994,3481664.428,3242314.057,3485288.671,3484380.37,3217366.057
methyglutarate,25257881.17,29446344.67,20211145.69,25280258.02,23559280.34,23485580.01,31413257.39,21733883.63,21802555.87,26181590.95,27717090.89,22566160.14,28578479.03,22707868.1,22882504.33,22102647.94,28580718.26,28273208.92,19128571.49,22213962.6,25896907.63,37427246.7,31059287.77,29236631.47,26088548.07,26341252.87,26019554.95,28069560.92,30217582.72,33258331.88,22938371.89,24671670.98,24530683.81,25758048.03,23489397.87,23427923.19
cytidine,3081691.537,3185381.758,3371572.537,3383759.807,2648022.205,2444438.324,3385508.074,3316667.013,3366908.805,4062747.18,3744625.561,3136601.798,4245625.519,3767232.518,3210721.453,3253670.816,5086712.719,4295795.574,3097712.684,3417317.11,3584693.378,4984885.125,4304308.655,3972862.755,3220627.147,3830888.314,3968997.649,4280341.134,3860727.294,4681689.489,3152129.267,3390355.315,3234078.225,3590533.738,3293749.768,3294749.167
Nicotinamide mononucleotide,605433.2423,639906.9036,600553.4179,631240.8275,488654.3809,473629.487,580922.4278,581300.4557,537907.4757,640757.7776,716969.9507,594553.1828,801203.9486,798078.8285,536440.1466,625152.1642,937931.5385,678064.2614,514325.6622,558863.9397,1357291.838,1859005.141,1488495.742,1463398.996,1160257.371,1202478.215,1262993.343,1390412.389,1379330.219,1372201.17,1111449.906,1057535.594,964173.6893,1080462.499,982335.0194,1001554.142
N-acetylserine,2792130.234,3283776.836,4826530.504,4216870.709,2057563.809,1983086.811,4452420.138,3152336.36,4052297.998,3918746.919,2293720.882,2627091.025,3083941.842,3310479.6,2797672.408,3315228.622,2469734.592,1970172.5,3204944.188,2908495.761,3313992.322,2954824.792,3052240.119,3333661.671,2071384.158,5631652.867,5028483.039,2995667.436,4087918.866,3150006.986,8363356.954,8938167.485,8480305.253,9357278.147,7901969.41,8200123.501
dCMP,108384.7077,159997.0555,172727.0087,232252.8133,102910.7197,100764.4837,158276.7543,156602.5268,125631.7386,209576.7821,713012.1223,499613.5184,659053.473,758443.7518,488793.2517,423860.283,717958.4871,608850.6766,440023.4642,536111.3828,619323.2965,791374.9382,599323.6292,621911.9472,456147.4682,433543.9467,458807.989,573170.7657,541795.8303,507899.1899,655999.4212,616567.554,572668.9459,664496.5659,602842.3067,617841.4162
CDP,203700.0029,529185.972,516732.5548,1297847.492,570205.6379,621517.4994,510263.9694,411284.264,345057.4516,645619.0563,3044443.111,2347417.571,3993026.6,4302075.454,3177854.963,2984713.692,4619625.495,4519884.738,3010012.342,3232945.962,2393585.918,2912528.019,3187172.929,3348236.257,2784760.886,2723864.544,2660755.128,3457995.127,3040863.964,3135703.574,2726873.489,2776208.107,2564061.484,2581676.214,2540832.95,2454463.034
PVNF,837699.9188,716449.6841,652925.6451,659493.8708,310109.8628,370899.2442,949531.7608,788121.5803,1486629.39,1686863.28,745331.929,517448.5905,811004.044,590365.2061,481830.6005,597178.6038,2762540.796,2487991.43,2187087.424,2457383.917,776373.9071,1309178.765,936552.2193,895554.1752,943759.1067,1398936.743,1684693.599,2011281.43,2168683.072,2019514.178,904236.8093,897562.6301,839045.2727,862841.137,811052.4032,782718.7613
4-Phosphopantothenate,3002390.119,3411417.978,3474966.503,3672732.051,2293639.275,2346999.387,2831207.101,2771709.597,2655059.106,2959325.818,4201639.958,3139357.1,4419880.194,4612548.554,3312188.172,3344728.717,4934131.312,3885475.517,2913306.71,3463503.045,4029921.29,4950596.2,4481108.734,4345534.851,2974950.447,3761386.235,3783993.759,4293123.042,3768210.073,3645522.961,5736119.742,5160558.96,5077611.651,5386561.649,5176600.664,5112997.901
PE,3141341.321,3011613.51,4310590.257,4515642.145,3079399.141,2896433.845,6539521.865,6807510.798,14558213.36,15684322.49,5352679.817,3843856.946,8747424.78,8465596.464,5708839.429,6117599.728,18969416.9,15844108.12,19461491.88,22852590.78,10608125.84,14570570.51,15865612.17,14611993.21,13404388.45,15897167.62,16379834.78,17844963.85,17874492.6,16006175.51,6778685.593,6310469.177,6284940.672,6306080.308,5924180.816,6019502.23
